semanticType,originLayer,targetLayer,count
COMPOSITIONAL,Technological,Technological,0
DERIVATIONAL,Biological,Biological,6
DERIVATIONAL,Biological,Cultural,0
DERIVATIONAL,Biological,Informational,0
DERIVATIONAL,Biological,Institutional / Structural,0
DERIVATIONAL,Biological,Physical / Environmental,0
DERIVATIONAL,Biological,Psychological,0
DERIVATIONAL,Biological,Social,0
DERIVATIONAL,Biological,Technological,0
DERIVATIONAL,Cultural,Biological,0
DERIVATIONAL,Cultural,Cultural,0
DERIVATIONAL,Cultural,Informational,0
DERIVATIONAL,Cultural,Institutional / Structural,0
DERIVATIONAL,Cultural,Physical / Environmental,0
DERIVATIONAL,Cultural,Psychological,0
DERIVATIONAL,Cultural,Social,0
DERIVATIONAL,Cultural,Technological,0
DERIVATIONAL,Informational,Biological,0
DERIVATIONAL,Informational,Cultural,0
DERIVATIONAL,Informational,Informational,2
DERIVATIONAL,Informational,Institutional / Structural,0
DERIVATIONAL,Informational,Physical / Environmental,0
DERIVATIONAL,Informational,Psychological,0
DERIVATIONAL,Informational,Social,0
DERIVATIONAL,Informational,Technological,0
DERIVATIONAL,Institutional / Structural,Biological,0
DERIVATIONAL,Institutional / Structural,Cultural,0
DERIVATIONAL,Institutional / Structural,Informational,0
DERIVATIONAL,Institutional / Structural,Institutional / Structural,0
DERIVATIONAL,Institutional / Structural,Physical / Environmental,0
DERIVATIONAL,Institutional / Structural,Psychological,0
DERIVATIONAL,Institutional / Structural,Social,0
DERIVATIONAL,Institutional / Structural,Technological,0
DERIVATIONAL,Physical / Environmental,Biological,0
DERIVATIONAL,Physical / Environmental,Cultural,0
DERIVATIONAL,Physical / Environmental,Informational,0
DERIVATIONAL,Physical / Environmental,Institutional / Structural,0
DERIVATIONAL,Physical / Environmental,Physical / Environmental,0
DERIVATIONAL,Physical / Environmental,Psychological,0
DERIVATIONAL,Physical / Environmental,Social,0
DERIVATIONAL,Physical / Environmental,Technological,0
DERIVATIONAL,Psychological,Biological,0
DERIVATIONAL,Psychological,Cultural,0
DERIVATIONAL,Psychological,Informational,0
DERIVATIONAL,Psychological,Institutional / Structural,0
DERIVATIONAL,Psychological,Physical / Environmental,0
DERIVATIONAL,Psychological,Psychological,0
DERIVATIONAL,Psychological,Social,0
DERIVATIONAL,Psychological,Technological,0
DERIVATIONAL,Social,Biological,0
DERIVATIONAL,Social,Cultural,0
DERIVATIONAL,Social,Informational,0
DERIVATIONAL,Social,Institutional / Structural,0
DERIVATIONAL,Social,Physical / Environmental,0
DERIVATIONAL,Social,Psychological,0
DERIVATIONAL,Social,Social,1
DERIVATIONAL,Social,Technological,0
DERIVATIONAL,Technological,Biological,0
DERIVATIONAL,Technological,Cultural,0
DERIVATIONAL,Technological,Informational,0
DERIVATIONAL,Technological,Institutional / Structural,0
DERIVATIONAL,Technological,Physical / Environmental,0
DERIVATIONAL,Technological,Psychological,0
DERIVATIONAL,Technological,Social,0
DERIVATIONAL,Technological,Technological,0
EMPIRICAL_NONCAUSAL,Biological,Biological,1
EMPIRICAL_NONCAUSAL,Biological,Cultural,0
EMPIRICAL_NONCAUSAL,Biological,Informational,0
EMPIRICAL_NONCAUSAL,Biological,Institutional / Structural,0
EMPIRICAL_NONCAUSAL,Biological,Physical / Environmental,0
EMPIRICAL_NONCAUSAL,Biological,Psychological,0
EMPIRICAL_NONCAUSAL,Biological,Social,0
EMPIRICAL_NONCAUSAL,Biological,Technological,0
EMPIRICAL_NONCAUSAL,Cultural,Biological,0
EMPIRICAL_NONCAUSAL,Cultural,Cultural,0
EMPIRICAL_NONCAUSAL,Cultural,Informational,0
EMPIRICAL_NONCAUSAL,Cultural,Institutional / Structural,0
EMPIRICAL_NONCAUSAL,Cultural,Physical / Environmental,0
EMPIRICAL_NONCAUSAL,Cultural,Psychological,0
EMPIRICAL_NONCAUSAL,Cultural,Social,0
EMPIRICAL_NONCAUSAL,Cultural,Technological,0
EMPIRICAL_NONCAUSAL,Informational,Biological,0
EMPIRICAL_NONCAUSAL,Informational,Cultural,0
EMPIRICAL_NONCAUSAL,Informational,Informational,0
EMPIRICAL_NONCAUSAL,Informational,Institutional / Structural,0
EMPIRICAL_NONCAUSAL,Informational,Physical / Environmental,0
EMPIRICAL_NONCAUSAL,Informational,Psychological,0
EMPIRICAL_NONCAUSAL,Informational,Social,0
EMPIRICAL_NONCAUSAL,Informational,Technological,0
EMPIRICAL_NONCAUSAL,Institutional / Structural,Biological,0
EMPIRICAL_NONCAUSAL,Institutional / Structural,Cultural,0
EMPIRICAL_NONCAUSAL,Institutional / Structural,Informational,0
EMPIRICAL_NONCAUSAL,Institutional / Structural,Institutional / Structural,0
EMPIRICAL_NONCAUSAL,Institutional / Structural,Physical / Environmental,0
EMPIRICAL_NONCAUSAL,Institutional / Structural,Psychological,0
EMPIRICAL_NONCAUSAL,Institutional / Structural,Social,0
EMPIRICAL_NONCAUSAL,Institutional / Structural,Technological,0
EMPIRICAL_NONCAUSAL,Physical / Environmental,Biological,0
EMPIRICAL_NONCAUSAL,Physical / Environmental,Cultural,0
EMPIRICAL_NONCAUSAL,Physical / Environmental,Informational,0
EMPIRICAL_NONCAUSAL,Physical / Environmental,Institutional / Structural,0
